"","sps.pairs","dominant.sps","subordinate.sps","obs.pianka","levins.dominant","levins.subordinate","dominant.biomass","subordinate.biomass","biomass.ratio","mean.SIF","sd.SIF","X2.5.SIF","X97.5.SIF"
"1","badger-fox","badger","fox",0.855,4.38152961495024,5.461573198866,5.97857142857143,5.63462942242114,1.06104075004146,1.23191498748189,0.10293637374053,1.03319912378281,1.44180094836828
"2","badger-genet","badger","genet",0.678,4.38152961495024,4.41465564728961,5.97857142857143,1.5985306122449,3.7400418751915,1.58205132743724,0.215313064584385,1.22274777805791,2.06415385646833
"3","badger-mongoose","badger","mongoose",0.769,4.38152961495024,5.56038910668987,5.97857142857143,2.04460226466498,2.92407551918224,1.61217846408678,0.327313320460754,1.04158336737007,2.33956011997853
"4","badger-pmarten","badger","pmarten",0.626,4.38152961495024,4.39291747385921,5.97857142857143,1.0875,5.49753694581281,0.613168708493423,0.225168593247241,0.21397345355587,1.08256081758558
"5","badger-smarten","badger","smarten",0.683,4.38152961495024,4.19954217599454,5.97857142857143,1.59415584415584,3.75030549898168,1.46387608827703,0.167703816268067,1.1744347843691,1.82923086209944
"6","badger-wildcat","badger","wildcat",0.401,4.38152961495024,3.20589510186389,5.97857142857143,3.98904569892473,1.49874728940383,1.16176293050704,0.246263341074531,0.676754850131815,1.66271007662121
"7","fox-genet","fox","genet",0.854,5.461573198866,4.41465564728961,5.63462942242114,1.5985306122449,3.52488052418848,1.20780258352925,0.0636166929717673,1.09512752420868,1.3431656276076
"8","fox-mongoose","fox","mongoose",0.65,5.461573198866,5.56038910668987,5.63462942242114,2.04460226466498,2.75585600182459,1.0656011817305,0.106466489728218,0.841488913465841,1.26204031576704
"9","fox-pmarten","fox","pmarten",0.901,5.461573198866,4.39291747385921,5.63462942242114,1.0875,5.18126843441024,0.740883261213426,0.107672194394603,0.522984393518839,0.941676054174048
"10","fox-smarten","fox","smarten",0.928,5.461573198866,4.19954217599454,5.63462942242114,1.59415584415584,3.53455369064301,1.2172164076388,0.057886942844003,1.11887383499521,1.34567180932512
"11","fox-wildcat","fox","wildcat",0.568,5.461573198866,3.20589510186389,5.63462942242114,3.98904569892473,1.41252566345379,0.874853582915546,0.103352769102928,0.659924321069382,1.06110580551222
"12","lynx-badger","lynx","badger",0.473,1.47584741000934,4.38152961495024,13.3917004048583,5.97857142857143,2.23994988850676,1.81698207327215,1.27998932251856,0.289491608953077,4.95287107239787
"13","lynx-fox","lynx","fox",0.311,1.47584741000934,5.461573198866,13.3917004048583,5.63462942242114,2.37667810975651,0.27753275939503,0.14208770789329,0.0510229358012776,0.586407650276553
"14","lynx-genet","lynx","genet",0.111,1.47584741000934,4.41465564728961,13.3917004048583,1.5985306122449,8.37750638134583,0.251882748660837,0.152397087544965,0.0175433496051009,0.591017721849266
"15","lynx-mongoose","lynx","mongoose",0.733,1.47584741000934,5.56038910668987,13.3917004048583,2.04460226466498,6.54978263317761,0.0231135325684399,0.0512295080771676,0.000225566697508667,0.169615248106939
"16","lynx-smarten","lynx","smarten",0.159,1.47584741000934,4.19954217599454,13.3917004048583,1.59415584415584,8.40049638431032,0.00901898574615869,0.0187265237294246,0.000114388710789082,0.0632067294440708
"17","lynx-wildcat","lynx","wildcat",0.436,1.47584741000934,3.20589510186389,13.3917004048583,3.98904569892473,3.35711882379992,0.417007468908336,0.266299153993922,0.0365977542107134,1.03936065708074
"18","mongoose-genet","mongoose","genet",0.634,5.56038910668987,4.41465564728961,2.04460226466498,1.5985306122449,1.2790510541388,1.98279416003122,0.39360350407509,1.41579478591364,2.89607150741316
"19","mongoose-smarten","mongoose","smarten",0.457,5.56038910668987,4.19954217599454,2.04460226466498,1.59415584415584,1.28256109473893,2.20895016384553,0.300297391716798,1.68985346313209,2.84224169101684
"20","pmarten-genet","pmarten","genet",0.933,4.39291747385921,4.41465564728961,1.0875,1.5985306122449,0.680312276580532,0.760025385776544,0.219203112831171,0.384439660260792,1.24272734757988
"21","pmarten-smarten","pmarten","smarten",0.918,4.39291747385921,4.19954217599454,1.0875,1.59415584415584,0.682179226069248,0.395089642288537,0.141050170185193,0.162948348533446,0.705365614994473
"22","smarten-genet","smarten","genet",0.763,4.19954217599454,4.41465564728961,1.59415584415584,1.5985306122449,0.99726325660857,1.78487203131989,0.187475468716401,1.46014565037604,2.20289178505666
"23","wildcat-genet","wildcat","genet",0.76,3.20589510186389,4.41465564728961,3.98904569892473,1.5985306122449,2.49544529730507,1.22259604142758,0.154411676176238,0.880915811663722,1.52709124075067
"24","wildcat-mongoose","wildcat","mongoose",0.762,3.20589510186389,5.56038910668987,3.98904569892473,2.04460226466498,1.95101304926822,1.73170612498646,0.368944791382843,1.21810564178049,2.62518863686249
"25","wildcat-pmarten","wildcat","pmarten",0.69,3.20589510186389,4.39291747385921,3.98904569892473,1.0875,3.66808799901125,0.886917029993812,0.191753547577038,0.531391716002878,1.32186334153364
"26","wildcat-smarten","wildcat","smarten",0.495,3.20589510186389,4.19954217599454,3.98904569892473,1.59415584415584,2.50229343231939,1.32918599296654,0.145399574047934,1.04999632978131,1.62987569982409
