station,study.area,utm_x,utm_y,field_1,LC2013,LC2009,%LC2009,LC2011,LC2012,LC2010,%LC2010,%LC2013,%LC2012,%LC2011
M10,MNR,-6.80347,43.05447,130,14.00000,14.00000,50.00000,5.00000,5.00000,5.00000,55.00000,40.00000,55.00000,55.00000
M11,MNR,-6.77680,43.05599,132,5.00000,5.00000,82.00000,5.00000,14.00000,14.00000,44.00000,69.00000,59.00000,69.00000
M12,MNR,-6.75797,43.05146,134,14.00000,14.00000,92.00000,5.00000,14.00000,5.00000,62.00000,34.00000,64.00000,62.00000
M13,MNR,-6.72304,43.05059,136,5.00000,5.00000,45.00000,5.00000,5.00000,5.00000,56.00000,63.00000,37.00000,44.00000
M14,MNR,-6.70083,43.04555,138,5.00000,5.00000,85.00000,5.00000,5.00000,5.00000,85.00000,90.00000,92.00000,68.00000
M15,MNR,-6.67419,43.04554,140,14.00000,5.00000,68.00000,5.00000,5.00000,5.00000,51.00000,54.00000,59.00000,59.00000
M16,MNR,-6.81842,43.04419,142,1.00000,5.00000,39.00000,5.00000,5.00000,1.00000,32.00000,36.00000,39.00000,39.00000
M17,MNR,-6.78602,43.04495,144,5.00000,5.00000,85.00000,5.00000,5.00000,5.00000,82.00000,90.00000,93.00000,79.00000
M18,MNR,-6.76508,43.04263,146,5.00000,5.00000,83.00000,5.00000,5.00000,5.00000,84.00000,88.00000,90.00000,86.00000
M19,MNR,-6.74454,43.04234,148,14.00000,5.00000,59.00000,5.00000,5.00000,5.00000,59.00000,41.00000,39.00000,58.00000
M20,MNR,-6.72143,43.04267,150,5.00000,5.00000,88.00000,5.00000,5.00000,5.00000,86.00000,62.00000,76.00000,78.00000
M21,MNR,-6.68386,43.03441,152,5.00000,5.00000,86.00000,5.00000,5.00000,5.00000,86.00000,71.00000,91.00000,84.00000
M22,MNR,-6.65420,43.03877,154,5.00000,5.00000,64.00000,14.00000,5.00000,5.00000,64.00000,78.00000,69.00000,50.00000
M24,MNR,-6.80633,43.03193,157,5.00000,8.00000,52.00000,8.00000,1.00000,8.00000,52.00000,65.00000,53.00000,33.00000
M25,MNR,-6.78003,43.03759,159,5.00000,5.00000,85.00000,5.00000,5.00000,5.00000,85.00000,64.00000,86.00000,72.00000
M26,MNR,-6.75615,43.02945,161,5.00000,5.00000,86.00000,5.00000,5.00000,5.00000,68.00000,69.00000,63.00000,86.00000
M27,MNR,-6.73069,43.03319,163,5.00000,5.00000,84.00000,5.00000,5.00000,5.00000,84.00000,83.00000,89.00000,89.00000
M28,MNR,-6.69601,43.03734,165,5.00000,5.00000,78.00000,5.00000,5.00000,5.00000,73.00000,90.00000,94.00000,72.00000
M29,MNR,-6.83904,43.02821,167,5.00000,5.00000,63.00000,5.00000,5.00000,5.00000,62.00000,46.00000,54.00000,82.00000
M30,MNR,-6.81548,43.02638,169,5.00000,8.00000,42.00000,8.00000,5.00000,8.00000,42.00000,48.00000,48.00000,48.00000
M31,MNR,-6.78627,43.02505,171,5.00000,8.00000,57.00000,8.00000,8.00000,8.00000,57.00000,59.00000,46.00000,46.00000
M32,MNR,-6.76658,43.02791,173,1.00000,5.00000,39.00000,5.00000,5.00000,5.00000,71.00000,62.00000,53.00000,71.00000
M33,MNR,-6.74723,43.02413,175,5.00000,5.00000,72.00000,5.00000,5.00000,5.00000,71.00000,71.00000,68.00000,72.00000
M34,MNR,-6.71474,43.02040,177,5.00000,5.00000,85.00000,5.00000,5.00000,5.00000,89.00000,81.00000,92.00000,57.00000
M35,MNR,-6.85182,43.02138,179,5.00000,5.00000,66.00000,5.00000,1.00000,5.00000,62.00000,69.00000,28.00000,69.00000
M36,MNR,-6.83114,43.01416,181,5.00000,5.00000,76.00000,5.00000,5.00000,5.00000,89.00000,65.00000,93.00000,71.00000
M37,MNR,-6.80291,43.01687,183,5.00000,5.00000,93.00000,5.00000,5.00000,5.00000,93.00000,85.00000,76.00000,76.00000
M38,MNR,-6.72824,43.01793,185,5.00000,5.00000,56.00000,5.00000,5.00000,5.00000,84.00000,78.00000,85.00000,85.00000
M39,MNR,-6.84067,43.00493,186,5.00000,5.00000,74.00000,5.00000,5.00000,5.00000,67.00000,85.00000,74.00000,64.00000
M40,MNR,-6.81266,43.00723,187,1.00000,1.00000,58.00000,1.00000,5.00000,1.00000,58.00000,47.00000,51.00000,58.00000
M41,MNR,-6.79293,43.01207,189,8.00000,5.00000,42.00000,8.00000,8.00000,8.00000,60.00000,56.00000,56.00000,60.00000
M42,MNR,-6.82802,42.99887,191,14.00000,14.00000,73.00000,14.00000,14.00000,14.00000,50.00000,51.00000,59.00000,59.00000
M43,MNR,-6.80427,42.99762,193,5.00000,5.00000,36.00000,8.00000,14.00000,8.00000,40.00000,31.00000,65.00000,40.00000
M44,MNR,-6.77330,42.99715,195,5.00000,5.00000,87.00000,5.00000,5.00000,5.00000,49.00000,88.00000,82.00000,70.00000
M45,MNR,-6.79088,42.99333,197,5.00000,5.00000,42.00000,5.00000,5.00000,5.00000,62.00000,33.00000,59.00000,50.00000
M50,MNR,-6.65006,43.05502,203,5.00000,14.00000,55.00000,14.00000,4.00000,5.00000,39.00000,51.00000,70.00000,55.00000
G01,PGNP,-8.15300,41.81600,73,10.00000,8.00000,67.00000,8.00000,10.00000,8.00000,34.00000,43.00000,51.00000,49.00000
G02,PGNP,-8.16700,41.81100,74,10.00000,10.00000,43.00000,10.00000,10.00000,10.00000,48.00000,49.00000,61.00000,69.00000
M51,MNR,-6.67657,43.00594,205,5.00000,5.00000,30.00000,5.00000,5.00000,5.00000,93.00000,86.00000,83.00000,98.00000
G03,PGNP,-8.14100,41.80800,75,8.00000,9.00000,45.00000,5.00000,8.00000,9.00000,45.00000,46.00000,46.00000,37.00000
G04,PGNP,-8.11300,41.80900,76,10.00000,10.00000,33.00000,10.00000,10.00000,10.00000,40.00000,73.00000,66.00000,66.00000
M52,MNR,-6.68747,42.99803,207,5.00000,5.00000,70.00000,5.00000,5.00000,5.00000,93.00000,90.00000,90.00000,79.00000
G05,PGNP,-8.09200,41.80800,77,10.00000,10.00000,85.00000,10.00000,10.00000,10.00000,39.00000,82.00000,53.00000,70.00000
M53,MNR,-6.69315,43.01337,208,5.00000,5.00000,71.00000,5.00000,5.00000,5.00000,60.00000,70.00000,61.00000,81.00000
G06,PGNP,-8.07500,41.81000,78,10.00000,10.00000,57.00000,10.00000,10.00000,10.00000,57.00000,80.00000,72.00000,72.00000
G07,PGNP,-8.17300,41.80000,79,10.00000,10.00000,70.00000,10.00000,10.00000,10.00000,70.00000,53.00000,60.00000,60.00000
G08,PGNP,-8.15300,41.80000,80,8.00000,5.00000,39.00000,5.00000,5.00000,5.00000,53.00000,51.00000,46.00000,46.00000
G09,PGNP,-8.13400,41.80200,81,8.00000,5.00000,43.00000,5.00000,8.00000,5.00000,50.00000,30.00000,54.00000,50.00000
G10,PGNP,-8.10800,41.80400,82,1.00000,1.00000,55.00000,8.00000,8.00000,1.00000,55.00000,62.00000,57.00000,57.00000
G11,PGNP,-8.07800,41.79900,83,10.00000,8.00000,26.00000,10.00000,8.00000,6.00000,48.00000,45.00000,60.00000,52.00000
G12,PGNP,-8.16700,41.79000,84,1.00000,11.00000,81.00000,1.00000,1.00000,1.00000,77.00000,69.00000,69.00000,77.00000
G13,PGNP,-8.14500,41.79400,85,5.00000,5.00000,65.00000,5.00000,5.00000,5.00000,72.00000,65.00000,68.00000,72.00000
G14,PGNP,-8.12300,41.79400,86,10.00000,8.00000,60.00000,8.00000,8.00000,8.00000,51.00000,52.00000,35.00000,51.00000
G15,PGNP,-8.09400,41.78500,87,10.00000,10.00000,87.00000,8.00000,10.00000,10.00000,87.00000,62.00000,70.00000,60.00000
G16,PGNP,-8.07300,41.79400,88,10.00000,10.00000,85.00000,8.00000,10.00000,10.00000,54.00000,63.00000,54.00000,48.00000
G17,PGNP,-8.16200,41.78600,89,8.00000,5.00000,65.00000,5.00000,5.00000,5.00000,64.00000,57.00000,64.00000,64.00000
G18,PGNP,-8.13600,41.78700,90,5.00000,5.00000,64.00000,5.00000,5.00000,5.00000,78.00000,88.00000,91.00000,68.00000
G19,PGNP,-8.11000,41.78000,91,10.00000,10.00000,44.00000,10.00000,10.00000,10.00000,40.00000,81.00000,57.00000,78.00000
