station,study.area,utm_x,utm_y,field_1,LC2012,LC2011,LC2013,LC2009,LC2010,%LC2012,%LC2011,%LC2009,%LC2013,%LC2010
B.plata,Buena Plata,-3.98955,38.11863,0,8.00000,8.00000,8.00000,8.00000,8.00000,60.00000,24.00000,21.00000,55.00000,54.00000
Bp.01,Buena Plata,-3.98801,38.11909,0,8.00000,8.00000,8.00000,8.00000,8.00000,61.00000,42.00000,80.00000,52.00000,42.00000
Bp.02,Buena Plata,-3.96702,38.11882,0,8.00000,8.00000,8.00000,8.00000,8.00000,51.00000,58.00000,55.00000,61.00000,67.00000
BQ.12,Barranco Quero,-3.97335,38.08609,0,9.00000,9.00000,8.00000,14.00000,14.00000,49.00000,49.00000,50.00000,44.00000,50.00000
BQ.13,Barranco Quero,-3.96593,38.08320,0,12.00000,12.00000,12.00000,12.00000,12.00000,49.00000,50.00000,46.00000,87.00000,50.00000
BQ.15,Barranco Quero,-3.97186,38.09310,0,8.00000,8.00000,8.00000,8.00000,8.00000,42.00000,71.00000,42.00000,69.00000,38.00000
BQ.16,Barranco Quero,-3.96670,38.08940,0,9.00000,9.00000,9.00000,8.00000,7.00000,58.00000,58.00000,40.00000,58.00000,32.00000
BQ.17,Barranco Quero,-3.96485,38.07904,0,12.00000,12.00000,12.00000,12.00000,12.00000,32.00000,28.00000,45.00000,69.00000,28.00000
Ca.01,Castorano,-4.06737,38.23041,0,9.00000,9.00000,9.00000,9.00000,9.00000,64.00000,64.00000,70.00000,64.00000,70.00000
Ca.02,Castorano,-4.07027,38.23416,0,9.00000,9.00000,9.00000,9.00000,9.00000,58.00000,58.00000,87.00000,58.00000,87.00000
Ca.03,Castorano,-4.07685,38.22892,0,9.00000,9.00000,9.00000,9.00000,7.00000,62.00000,62.00000,31.00000,62.00000,54.00000
Ca.04,Castorano,-4.07827,38.23514,0,9.00000,9.00000,9.00000,9.00000,9.00000,64.00000,64.00000,74.00000,33.00000,74.00000
Ca.07,Castorano,-4.07973,38.23055,0,9.00000,9.00000,9.00000,9.00000,8.00000,65.00000,65.00000,53.00000,66.00000,48.00000
CCC,Mingorramos,-4.05456,38.22696,0,8.00000,8.00000,9.00000,7.00000,8.00000,68.00000,68.00000,58.00000,62.00000,68.00000
CCC.1,Mingorramos,-4.05456,38.22696,0,8.00000,8.00000,9.00000,7.00000,8.00000,68.00000,68.00000,58.00000,62.00000,68.00000
Ce.01,Cerrajeros,-3.94550,38.17093,0,9.00000,9.00000,8.00000,8.00000,9.00000,51.00000,45.00000,45.00000,83.00000,51.00000
Ce.02,Cerrajeros,-3.95670,38.17843,0,8.00000,7.00000,8.00000,7.00000,7.00000,51.00000,41.00000,41.00000,51.00000,41.00000
Ce.03,Cerrajeros,-3.96928,38.17629,0,7.00000,7.00000,7.00000,7.00000,7.00000,51.00000,51.00000,42.00000,32.00000,42.00000
Ce.04,Cerrajeros,-3.97930,38.17712,0,9.00000,9.00000,8.00000,9.00000,9.00000,45.00000,45.00000,56.00000,45.00000,56.00000
Ce.04b,Cerrajeros,-3.97926,38.17716,0,9.00000,9.00000,8.00000,9.00000,9.00000,45.00000,45.00000,56.00000,45.00000,56.00000
Ce.05,Cerrajeros,-3.98119,38.17006,0,8.00000,8.00000,8.00000,8.00000,8.00000,59.00000,51.00000,44.00000,59.00000,54.00000
Ce.07,Cerrajeros,-3.95396,38.16884,0,9.00000,8.00000,9.00000,8.00000,8.00000,44.00000,61.00000,61.00000,44.00000,61.00000
Ce.08,Cerrajeros,-3.97484,38.16479,0,8.00000,8.00000,8.00000,8.00000,8.00000,61.00000,84.00000,47.00000,65.00000,64.00000
Ce.08b,Cerrajeros,-3.97385,38.16561,0,8.00000,8.00000,8.00000,8.00000,8.00000,60.00000,60.00000,80.00000,74.00000,80.00000
Ce.10,Cerrajeros,-3.94053,38.16630,0,8.00000,9.00000,12.00000,8.00000,8.00000,41.00000,37.00000,42.00000,57.00000,42.00000
Ce.13,Cerrajeros,-3.94769,38.15758,0,9.00000,9.00000,9.00000,7.00000,7.00000,54.00000,48.00000,38.00000,54.00000,38.00000
Ce.20,Cerrajeros,-3.96650,38.17928,0,9.00000,9.00000,8.00000,9.00000,9.00000,53.00000,53.00000,51.00000,57.00000,51.00000
Ce.21,Cerrajeros,-3.94775,38.16368,0,8.00000,9.00000,8.00000,9.00000,9.00000,60.00000,28.00000,35.00000,60.00000,28.00000
Ce.6b,Cerrajeros,-3.96440,38.16895,0,8.00000,8.00000,8.00000,8.00000,8.00000,74.00000,40.00000,50.00000,74.00000,50.00000
Ce.Arroyo,Cerrajeros,-3.97884,38.16961,0,8.00000,8.00000,8.00000,8.00000,8.00000,59.00000,65.00000,26.00000,54.00000,72.00000
Ce.Arroyo,Cerrajeros,-3.97757,38.17167,0,8.00000,8.00000,8.00000,8.00000,9.00000,58.00000,58.00000,64.00000,72.00000,54.00000
Ce.Casavieja,Cerrajeros,-3.94822,38.16492,0,8.00000,9.00000,8.00000,9.00000,9.00000,60.00000,28.00000,35.00000,60.00000,28.00000
Ce.Letrina,Cerrajeros,-3.97395,38.17792,0,7.00000,7.00000,7.00000,7.00000,7.00000,45.00000,45.00000,39.00000,45.00000,39.00000
Ce.Pantano,Cerrajeros,-3.97884,38.16961,0,8.00000,8.00000,8.00000,8.00000,8.00000,59.00000,65.00000,26.00000,54.00000,72.00000
