"","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff","zero.perctl","retain","covariate"
"b0.p",-2.66136598827401,0.207155371822021,-3.08005094248997,-2.79461777679184,-2.65346909687401,-2.51831700995204,-2.27449295753163,1.00107475616715,8200,1,"yes","p.intercept"
"b1.p",0.385916011999407,0.511224700406092,-0.656017800672859,0.0541502887703161,0.411609441605598,0.742444241694155,1.31678118793417,1.00096059945848,9000,0.220222222222222,"no","p.trail"
"b2.p",-1.56849691302535,0.541958379892237,-2.72551258189154,-1.91758872025877,-1.52965644733265,-1.19570912796151,-0.585469763521829,1.00235224564313,1300,0.999888888888889,"yes","p.season"
"b0.psi",-2.88067109184867,0.537751046163009,-4.02375060355795,-3.20845381442465,-2.85040993425636,-2.52696494368298,-1.91309121769766,1.00138317232157,3600,0.999666666666667,"yes","psi.intercept"
"b1.psi",0.12152942391215,0.415957107778316,-0.670989838096434,-0.158137583322176,0.117905507591498,0.396410691956715,0.948976509556199,1.00143099116241,3300,0.389111111111111,"no","EVI"
"b2.psi",0.0992376569952683,0.222475109589308,-0.331366399233991,-0.0461910303554439,0.0985620545894137,0.244789420988038,0.543569318235649,1.00124451770661,4900,0.323888888888889,"no","EVI^2"
"b3.psi",-1.30566836613091,1.0633498340758,-4.01452285418221,-1.80670103434075,-1.11976985234698,-0.561896771286603,0.125484235071923,1.00344088988721,2300,0.954222222222222,"yes","rabbit.ts"
"b4.psi",0.604389516913331,0.270925200779228,0.0670881839422386,0.437449564155944,0.606049227633412,0.772827649966668,1.14319856251805,1.00148140272274,3100,0.0163333333333333,"yes","d.sett"
"b5.psi",1.1012353897885,0.895640844579562,-0.207652853146827,0.521792565966466,0.978278795727938,1.49799613342034,3.22427524526715,1.01335718752437,600,0.0566666666666667,"yes","season"
"mean.p",0.0664221079100927,0.0126896914489573,0.0439376753972621,0.0576157150033489,0.0657755152240166,0.0745840241020492,0.093257590047106,1.00107543196598,8200,0,"yes","mean.p"
"mean.psi",0.0595450296996818,0.0320666203485455,0.0175714774311146,0.0388488272566285,0.0546601310529709,0.0739893245150527,0.128633967835544,1.001375607145,3700,0,"yes","meanp.psi"
