"","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff","zero.perctl","retain","covariate"
"b0.p",-1.81489345327957,0.0577576007865931,-1.92943343806387,-1.85335810941182,-1.81365955214486,-1.77626736016098,-1.7043324049365,1.00089377568197,9000,1,"yes","p.intercept"
"b1.p",-0.0333273138254363,0.116414837806532,-0.263653467236225,-0.110722478020849,-0.0332286781964514,0.0456160669534784,0.18829566333889,1.00107651068824,8200,0.614666666666667,"no","p.trail"
"b2.p",0.173064624077775,0.075714470947409,0.0252548599953898,0.120895245748007,0.173448587708827,0.223803074856828,0.322775334861795,1.00091698684207,9000,0.0113333333333333,"yes","p.season"
"b0.psi",0.0496546309756093,0.402275665129431,-0.780184595411828,-0.169312793120059,0.056908802764631,0.273577136844291,0.842345270075087,1.0013294351239,4000,0.431111111111111,"no","psi.intercept"
"b1.psi",0.415183357211914,0.224201820105315,-0.0279024656543657,0.267875428594217,0.415227237340956,0.563585515358312,0.85770828433646,1.00085067941139,9000,0.0317777777777778,"no","EVI"
"b2.psi",-0.302511438703677,0.10602165496937,-0.513166452406155,-0.372701266857484,-0.301260550547397,-0.229933418201038,-0.0983946587199159,1.0008768504927,9000,0.998444444444444,"yes","EVI^2"
"b3.psi",0.0134795093924253,0.136495014897642,-0.257282895511291,-0.0767768995233892,0.0148490908283824,0.104754939596383,0.280171147185401,1.00104819011281,9000,0.456,"no","rabbit.ts"
"b4.psi",0.257833379498239,0.225361821074055,-0.154902287614184,0.105800817656501,0.244264514520413,0.398988819701122,0.741262968543508,1.00102361864539,9000,0.113444444444444,"no","d.sett"
"b5.psi",-0.0123404249105584,0.205578252299567,-0.412246345322055,-0.151650477414405,-0.0141473430899982,0.124908558136935,0.388561784958469,1.00117682984503,5800,0.527666666666667,"no","season"
"mean.p",0.14019218193995,0.00694725547958387,0.126813303218743,0.135479098402427,0.140196417147635,0.144764651696428,0.153900274767103,1.00089385381732,9000,0,"yes","mean.p"
"mean.psi",0.512020159548929,0.0939415985814613,0.314280102564511,0.457772630595511,0.514223361534973,0.567970875191348,0.698958879667726,1.001144830673,6400,0,"yes","mean.psi"
