"","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff","zero.perctl","retain","covariate"
"b0.p",-3.86732089288191,0.344432180832335,-4.57097012874975,-4.09115542310454,-3.85639331850515,-3.62604786071669,-3.22597569868466,1.00104348470241,9000,1,"yes","p.intercept"
"b1.p",-1.38348004411534,0.883052753982141,-3.3279148520461,-1.89917586884701,-1.32088771831176,-0.78316398073109,0.15961329303066,1.00089494401807,9000,0.960555555555556,"no","p.trail"
"b2.p",0.217107939191682,0.455838749456622,-0.685294964457784,-0.0929032609220446,0.218227807760727,0.527577390102012,1.09192585459545,1.00085509694477,9000,0.315888888888889,"no","p.season"
"b0.psi",-2.1099869710492,0.973610734440109,-4.16431058545825,-2.68860479213559,-2.07142333013262,-1.49860636357347,-0.238817323392651,1.01655523382005,140,0.984,"yes","psi.intercept"
"b1.psi",-0.27684900446042,0.367682917715899,-1.01529410468227,-0.502442291759136,-0.264854344800253,-0.0397995272411804,0.419839029754466,1.0009566074408,9000,0.787888888888889,"no","EVI"
"b2.psi",-0.57978670066205,0.943921804440556,-2.56325262005733,-1.13101298925326,-0.54197227020445,-0.00616865871131611,1.21072134025893,1.00788842975759,290,0.752777777777778,"no","rabbit.d"
"b3.psi",-2.8755058445229,2.10452619593768,-7.82073385466488,-4.1449350997082,-2.58774271449998,-1.25503313658474,0.26380806500227,1.09623730884607,33,0.950555555555556,"no","rabbit.ts"
"b4.psi",-0.090734640605037,0.301208065926689,-0.724876833816342,-0.272035643908659,-0.0803258374178164,0.108737367361513,0.466215175469055,1.00121995626032,5200,0.611777777777778,"no","d.hmn"
"b5.psi",-0.0503858998764455,0.730391925508749,-1.49056549672948,-0.499238260382166,-0.0627523116542056,0.393291069955316,1.41442383174453,1.0014037445177,9000,0.536222222222222,"no","season"
"mean.p",0.0216296792394626,0.00722038782363026,0.0102419333682834,0.0164449459157346,0.0207063056217313,0.0259308766911666,0.0381998278165944,1.0010445389275,9000,0,"yes","mean.p"
"mean.psi",0.140080322957438,0.112546860597638,0.0153026158414136,0.0636491190462499,0.11190550604366,0.182633471661016,0.440577822153334,1.01880511343997,130,0,"yes","mean.psi"
