"","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff","zero.perctl","retain","covariate"
"b0.p",-3.1572406774609,0.203067519678681,-3.5751167105447,-3.29154384103443,-3.14829216759276,-3.01815227734452,-2.78237341278972,1.0013171017828,4100,1,"yes","p.intercept"
"b1.p",0.970305022082596,0.435174097760862,0.0556719502413467,0.690499593622946,0.990553375015679,1.27435177755861,1.75969007759193,1.00089281673039,9000,0.0188888888888889,"yes","p.trail"
"b2.p",-0.215663530764023,0.321561119271307,-0.864423474612903,-0.422243242327163,-0.213571242879686,-0.00273788944666305,0.402246456507429,1.00154426762511,2800,0.752777777777778,"no","p.season"
"b0.psi",-1.52800000091492,0.503237070623503,-2.543709287408,-1.78930699743362,-1.52898272245482,-1.26774702461202,-0.516059994834851,1.00121543162201,5200,0.992111111111111,"yes","psi.intercept"
"b1.psi",0.067229668993811,0.291494649336286,-0.487966540448289,-0.129694711504194,0.0587581794951287,0.260666891227045,0.650323285577758,1.00121485524918,5200,0.411888888888889,"no","EVI"
"b2.psi",0.130591665715597,0.517141063831632,-0.96485220194075,-0.127326866762253,0.148671169872971,0.406699934494013,1.11205526018725,1.00096058951535,9000,0.353888888888889,"no","latitude"
"b3.psi",0.139526370018461,0.224198548347378,-0.269602856695627,-0.00912624205538699,0.130106707482068,0.279962185514158,0.599310362658614,1.00106978894932,8400,0.266777777777778,"no","rodent.d"
"b4.psi",-0.0689241870024295,0.187325414448791,-0.456621111152859,-0.18580331263205,-0.0646014557024987,0.0547320114447119,0.293207325181567,1.00087154002399,9000,0.639888888888889,"no","rodent.ts"
"b5.psi",-0.13914174801624,0.298632300127667,-0.721427082236329,-0.330789875574953,-0.147991245007733,0.0449011031083481,0.475251553810147,1.00139794620416,3500,0.697222222222222,"no","d.sett"
"b6.psi",0.00747094797647431,0.410208680258674,-0.773220955214397,-0.265016918626141,-0.000991263487378952,0.269322871690453,0.832912814672711,1.00117342399656,5900,0.501444444444444,"no","season"
"mean.p",0.041542645182641,0.00797787011096098,0.0272488570275707,0.0358624272837164,0.0411586243189613,0.0466125181696727,0.0582841491229554,1.00131645928792,4100,0,"yes","mean.p"
"mean.psi",0.188927853675412,0.0774566961896166,0.072850238619882,0.143157708601351,0.178142574213236,0.219643168250715,0.373773999056964,1.00210308789731,5300,0,"yes","mean.psi"
