"","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff","zero.perctl","retain","covariate"
"b0.p",-2.97360448922534,0.170445080184674,-3.32881541490249,-3.08643438488036,-2.96535343811463,-2.85677185142985,-2.65696069436662,1.00163890516347,2500,1,"yes","p.intercept"
"b1.p",0.0922118300214239,0.270059706790876,-0.44623795708452,-0.0867201345073838,0.0958220298342756,0.275254136612457,0.606194750955045,1.00084926094291,9000,0.365222222222222,"no","p.trail"
"b2.p",-0.666452600431159,0.278927032740284,-1.23907037929584,-0.853095863809161,-0.659442084893536,-0.472238070265094,-0.132821613861418,1.00126267341912,4600,0.993111111111111,"yes","p.season"
"b0.psi",-1.11038643721543,0.305074906828586,-1.69386288148793,-1.30898739335495,-1.112923912002,-0.914443434540396,-0.507573759865318,1.00126690386103,4600,0.998777777777778,"yes","psi.intercept"
"b1.psi",-0.181515441149213,0.269970899778779,-0.705488150502108,-0.361363047899555,-0.186526046297926,-0.00305224809675503,0.357872054391205,1.00101189412036,9000,0.755222222222222,"no","EVI"
"b2.psi",0.110649217530715,0.150708175100896,-0.184809896823978,0.0100549168612989,0.108455531057917,0.210267121884487,0.414303700725595,1.000856380691,9000,0.229222222222222,"no","EVI^2"
"b3.psi",-0.0843979569107617,0.177419818802555,-0.430129190561049,-0.202453355819721,-0.0851342647681861,0.031680446249553,0.26201183125418,1.0012587012204,4700,0.688555555555556,"no","rodent.d"
"b4.psi",0.333507309720573,0.304219413476708,-0.116378576313603,0.120095000517638,0.280386036271353,0.496963813197171,1.07096430477193,1.00108343361933,8000,0.100888888888889,"no","rodent.ts"
"b5.psi",0.701951775732519,0.465916822281216,-0.0837985953378586,0.389747457452636,0.662594817283448,0.963044634271212,1.72329684132439,1.001862101509,4800,0.0433333333333333,"no","season"
"mean.p",0.0492359661929869,0.00789573223435703,0.0345957723266522,0.0436703044250562,0.0490158613003871,0.0543323253746898,0.0655612847429671,1.00164121625527,2500,0,"yes","mean.p"
"mean.psi",0.252017179279746,0.0567933556532864,0.155268508025681,0.21265633913444,0.247326182926775,0.286091434328399,0.375762463664824,1.00119724861912,5500,0,"yes","mean.psi"
